country_name_short,party_id,party_name_short,insta_page_created,month,insta_posts_n_monthly,insta_type_img_n_monthly,insta_type_vid_n_monthly,insta_type_car_n_monthly
AUS,1253,ALP,2016-05-23,2016-05-01,27,24,3,0
AUS,1253,ALP,2016-05-23,2016-06-01,53,51,2,0
AUS,1253,ALP,2016-05-23,2016-07-01,6,6,0,0
AUS,1253,ALP,2016-05-23,2018-04-01,2,2,0,0
AUS,1253,ALP,2016-05-23,2018-05-01,10,9,1,0
AUS,1253,ALP,2016-05-23,2018-07-01,9,9,0,0
AUS,1253,ALP,2016-05-23,2018-08-01,1,0,0,1
AUS,1253,ALP,2016-05-23,2018-09-01,3,3,0,0
AUS,1253,ALP,2016-05-23,2018-10-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-11-01,6,6,0,0
AUS,1253,ALP,2016-05-23,2018-12-01,9,6,0,3
AUS,1253,ALP,2016-05-23,2019-01-01,8,6,0,2
AUS,1253,ALP,2016-05-23,2019-02-01,16,12,0,4
AUS,1253,ALP,2016-05-23,2019-03-01,22,20,0,2
AUS,1253,ALP,2016-05-23,2019-04-01,45,44,1,0
AUS,1253,ALP,2016-05-23,2019-05-01,29,27,0,2
AUS,1253,ALP,2016-05-23,2019-06-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-10-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-01-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-01,8,8,0,0
AUS,1253,ALP,2016-05-23,2020-03-01,11,10,1,0
AUS,1253,ALP,2016-05-23,2020-04-01,21,21,0,0
AUS,1253,ALP,2016-05-23,2020-05-01,19,18,1,0
AUS,1253,ALP,2016-05-23,2020-06-01,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-07-01,13,13,0,0
AUS,1253,ALP,2016-05-23,2020-08-01,12,11,1,0
AUS,1253,ALP,2016-05-23,2020-09-01,13,12,0,1
AUS,1253,ALP,2016-05-23,2020-10-01,28,24,3,1
AUS,1253,ALP,2016-05-23,2020-11-01,25,24,1,0
AUS,1253,ALP,2016-05-23,2020-12-01,29,26,2,1
AUS,1253,ALP,2016-05-23,2021-01-01,12,12,0,0
AUS,1253,ALP,2016-05-23,2021-02-01,31,26,2,3
AUS,1253,ALP,2016-05-23,2021-03-01,30,28,0,2
AUS,1253,ALP,2016-05-23,2021-04-01,28,26,1,1
AUS,1253,ALP,2016-05-23,2021-05-01,57,54,0,3
AUS,1253,ALP,2016-05-23,2021-06-01,51,50,0,1
AUS,1253,ALP,2016-05-23,2021-07-01,61,55,4,2
AUS,1253,ALP,2016-05-23,2021-08-01,76,66,9,1
AUS,1253,ALP,2016-05-23,2021-09-01,65,51,9,5
AUS,1253,ALP,2016-05-23,2021-10-01,50,48,1,1
AUS,1253,ALP,2016-05-23,2021-11-01,54,50,2,2
AUS,1253,ALP,2016-05-23,2021-12-01,58,53,3,2
AUS,1253,ALP,2016-05-23,2022-01-01,52,47,3,2
AUS,1253,ALP,2016-05-23,2022-02-01,43,41,1,1
AUS,1253,ALP,2016-05-23,2022-03-01,97,85,6,6
AUS,1253,ALP,2016-05-23,2022-04-01,238,182,41,15
AUS,1253,ALP,2016-05-23,2022-05-01,250,193,36,21
AUS,1253,ALP,2016-05-23,2022-06-01,40,38,0,2
AUS,1253,ALP,2016-05-23,2022-07-01,74,67,0,7
AUS,1253,ALP,2016-05-23,2022-08-01,83,80,0,3
AUS,1253,ALP,2016-05-23,2022-09-01,50,43,0,7
AUS,1253,ALP,2016-05-23,2022-10-01,90,77,0,13
AUS,1253,ALP,2016-05-23,2022-11-01,73,57,3,13
AUS,1253,ALP,2016-05-23,2022-12-01,79,67,5,7
AUS,1253,ALP,2016-05-23,2023-01-01,66,61,0,5
AUS,1253,ALP,2016-05-23,2023-02-01,81,58,7,16
AUS,1253,ALP,2016-05-23,2023-03-01,108,83,8,17
AUS,1253,ALP,2016-05-23,2023-04-01,86,69,2,15
AUS,1253,ALP,2016-05-23,2023-05-01,132,110,11,11
AUS,1253,ALP,2016-05-23,2023-06-01,91,67,11,13
AUS,1253,ALP,2016-05-23,2023-07-01,102,71,14,17
AUS,1253,ALP,2016-05-23,2023-08-01,117,78,19,20
AUS,1253,ALP,2016-05-23,2023-09-01,140,82,37,21
AUS,1253,ALP,2016-05-23,2023-10-01,148,82,44,22
