country_name_short,party_id,party_name,party_name_english,party_name_short,party_created_date,party_end_date,website,fb_handle,fb_scraping,fb_status,fb_account_type,fb_page_created,fb_date_min,fb_date_max,fb_posts_n,fb_collection_update,insta_handle,insta_scraping,insta_status,insta_account_type,insta_page_created,insta_date_min,insta_date_max,insta_posts_n,insta_type_img_n,insta_type_vid_n,insta_type_car_n,insta_collection_update,tw_handle,tw_scraping,tw_status,tw_account_type,tw_page_created,tw_date_min,tw_date_max,tw_posts_n,tw_collection_update,yt_scraping,yt_channel_id,yt_channel_url,yt_status,yt_account_type,yt_page_created,yt_date_min,yt_date_max,yt_videos_n,yt_collection_update
AUS,154,Liberal National Party of Queensland,Liberal National Party of Queensland,LNPQ,2008-07-26,NA,https://www.lnp.org.au/,LNPQLD,TRUE,Collection completed,party,2011-03-31,2011-04-07,2023-12-31,4302,2023-12-31,lnpqld,TRUE,Collection completed,party,2016-11-15,2016-11-15,2016-11-15,826,521,200,105,2023-12-31,LNPQLD,TRUE,Collection completed,party,2010-08-18,2010-08-18,2023-12-22,3411,2023-12-31,TRUE,UCQzBr3OMU52QB2BbQDIn6kw,@lnpqld,Collection completed,party,2008-07-27,2016-02-14,2023-12-14,102,2023-12-31
AUS,184,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,NCP|NPA,1920-01-22,NA,https://nationals.org.au/,TheNationalsAus,TRUE,Collection completed,party,2009-11-09,2009-11-09,2023-12-31,3105,2023-12-31,the_nationals,TRUE,Collection completed,party,2017-03-27,2017-03-27,2017-03-27,590,546,33,11,2023-12-31,The_Nationals,TRUE,Collection completed,party,2010-09-20,2010-09-20,2023-03-20,1723,2023-12-31,TRUE,UCb3GFUZvIwdVVsTCABcszOQ,@thenationals,Collection completed,party,2007-08-27,2011-05-18,2023-04-06,86,2023-12-31
AUS,215,Country Liberal Party,Country Liberal Party,CouLP,1974-07-01,NA,https://www.clp.org.au/,countryliberals,TRUE,Collection completed,party,2012-02-04,2012-02-04,2023-12-22,1924,2023-12-31,liafinocchiaromla,TRUE,Collection completed,leader,2020-02-23,2020-02-23,2020-02-23,2187,1591,252,344,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,TRUE,UCQO4Fh-Nf4E642tF-8fmEOA,@countryliberalparty2646,Collection completed,party,2022-05-19,2022-05-19,2022-05-19,2,2023-12-31
AUS,751,Australian Greens,Australian Greens,AG,1992-01-01,NA,https://greens.org.au/,AustralianGreens,TRUE,Collection completed,party,2007-11-13,2008-12-15,2023-12-31,10476,2023-12-31,australiangreens,TRUE,Collection completed,party,2013-08-09,2013-08-09,2013-08-09,3239,1621,645,973,2023-12-31,Greens,TRUE,Collection completed,party,2007-08-02,2007-08-02,2023-11-19,4566,2023-12-31,TRUE,UCExNRjztVKtVu1CNzPpIFCQ,@australiangreens,Collection completed,party,2006-09-20,2009-05-04,2023-12-30,3694,2023-12-31
AUS,1253,Australian Labor Party,Australian Labor Party,ALP,1901-05-08,NA,https://www.alp.org.au/,AustralianLabor,TRUE,Collection completed,party,2010-02-05,2010-02-08,2023-12-31,11295,2023-12-31,australianlabor,TRUE,Collection completed,party,2016-05-23,2016-05-23,2016-05-23,3419,2767,330,322,2023-12-31,AustralianLabor,TRUE,Collection completed,party,2010-02-05,2010-02-05,2023-12-04,17239,2023-12-31,TRUE,UC9V-f1rmmcfv0L0sQzSwNqQ,@australianlabor,Collection completed,party,2007-06-11,2007-07-17,2022-05-19,693,2023-12-31
AUS,1411,Liberal Party of Australia,Liberal Party of Australia,LPA,1944-10-13,NA,https://www.liberal.org.au/,LiberalPartyAustralia,TRUE,Collection completed,party,2008-02-02,2008-10-08,2023-12-31,7768,2023-12-31,liberalaus,TRUE,Collection completed,party,2013-03-20,2013-03-20,2013-03-20,2256,2002,223,31,2023-12-31,LiberalAus,TRUE,Collection completed,party,2009-04-04,2009-04-04,2023-11-21,9533,2023-12-31,TRUE,UC3rLL1h9swUpQszCPJPVoOg,@liberalpartyofaustralia,Collection completed,party,2008-09-29,2010-06-21,2023-09-20,179,2023-12-31
AUS,2258,Katter's Australian Party,Katter's Australian Party,Katter,2011-06-05,NA,https://kap.org.au/,KattersAusParty,TRUE,Collection completed,party,2013-06-28,2013-06-28,2023-12-31,2786,2023-12-31,the_kap_official,TRUE,Collection completed,party,2020-06-12,2020-06-12,2020-06-12,932,883,41,8,2023-12-31,KAPteam,FALSE,Collection not completed,party,NA,NA,NA,NA,NA,TRUE,UCTVVMrrWdSachvBMDfAlcIQ,@kattersaustralianparty4432,Collection completed,party,2018-02-16,2018-09-08,2019-01-22,2,2023-12-31
AUS,2259,Palmer United Party,Palmer United Party,PUP,2013-04-01,NA,https://www.unitedaustraliaparty.org.au/,UnitedAusParty,FALSE,Collection not completed,party,NA,NA,NA,NA,2023-12-31,unitedausparty,TRUE,Collection completed,party,2021-10-31,2021-10-31,2021-10-31,91,64,25,2,2023-12-31,UnitedAusParty,TRUE,Collection completed,party,2013-04-26,2013-04-26,2023-12-22,1135,2023-12-31,TRUE,UCQHUEiqAO2k8otg8dZOTREg,@unitedaustraliapartyuap,Collection completed,party,2013-05-15,2013-05-15,2023-02-01,608,2023-12-31
AUS,2630,Nick Xenophon Team,Nick Xenophon Team,NXT,2013-07-01,NA,https://centrealliance.org.au/,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,centre_alliance,TRUE,Collection completed,party,2015-12-04,2015-12-04,2019-12-18,112,2023-12-31,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
AUT,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,FPO,1956-04-07,NA,https://www.fpoe.at/,fpoe,TRUE,Collection completed,party,2012-11-15,2012-11-15,2023-12-31,11738,2023-12-31,fpoe_at,TRUE,Collection completed,party,2017-06-07,2017-06-07,2017-06-07,1153,797,110,246,2023-12-31,FPOE_TV,TRUE,Collection completed,party,2020-02-15,2020-02-15,2023-12-30,3038,2023-12-31,TRUE,UCRdEdkAlZetdf74bYaBRv3g,@fpoetv,Collection completed,party,2012-09-17,2012-09-17,2023-12-28,6070,2023-12-31
