country_name_short,party_id,party_name_short,insta_page_created,week,insta_posts_n_weekly,insta_type_img_n_weekly,insta_type_vid_n_weekly,insta_type_car_n_weekly
AUS,1253,ALP,2016-05-23,2016-05-22,24,22,2,0
AUS,1253,ALP,2016-05-23,2016-05-29,12,11,1,0
AUS,1253,ALP,2016-05-23,2016-06-05,17,16,1,0
AUS,1253,ALP,2016-05-23,2016-06-12,10,10,0,0
AUS,1253,ALP,2016-05-23,2016-06-19,6,6,0,0
AUS,1253,ALP,2016-05-23,2016-06-26,16,15,1,0
AUS,1253,ALP,2016-05-23,2016-07-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-04-22,2,2,0,0
AUS,1253,ALP,2016-05-23,2018-04-29,2,2,0,0
AUS,1253,ALP,2016-05-23,2018-05-06,6,5,1,0
AUS,1253,ALP,2016-05-23,2018-05-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-05-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-07-08,3,3,0,0
AUS,1253,ALP,2016-05-23,2018-07-22,6,6,0,0
AUS,1253,ALP,2016-05-23,2018-08-19,1,0,0,1
AUS,1253,ALP,2016-05-23,2018-09-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-09-09,2,2,0,0
AUS,1253,ALP,2016-05-23,2018-10-14,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-11-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-11-18,2,2,0,0
AUS,1253,ALP,2016-05-23,2018-11-25,3,3,0,0
AUS,1253,ALP,2016-05-23,2018-12-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2018-12-16,8,5,0,3
AUS,1253,ALP,2016-05-23,2018-12-30,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-01-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-01-20,4,3,0,1
AUS,1253,ALP,2016-05-23,2019-01-27,1,0,0,1
AUS,1253,ALP,2016-05-23,2019-02-03,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-02-10,5,2,0,3
AUS,1253,ALP,2016-05-23,2019-02-17,5,5,0,0
AUS,1253,ALP,2016-05-23,2019-02-24,4,2,0,2
AUS,1253,ALP,2016-05-23,2019-03-03,6,6,0,0
AUS,1253,ALP,2016-05-23,2019-03-10,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-03-17,5,4,0,1
AUS,1253,ALP,2016-05-23,2019-03-24,7,7,0,0
AUS,1253,ALP,2016-05-23,2019-03-31,4,4,0,0
AUS,1253,ALP,2016-05-23,2019-04-07,15,14,1,0
AUS,1253,ALP,2016-05-23,2019-04-14,13,13,0,0
AUS,1253,ALP,2016-05-23,2019-04-21,9,9,0,0
AUS,1253,ALP,2016-05-23,2019-04-28,11,11,0,0
AUS,1253,ALP,2016-05-23,2019-05-05,10,8,0,2
AUS,1253,ALP,2016-05-23,2019-05-12,10,10,0,0
AUS,1253,ALP,2016-05-23,2019-05-26,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-06-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-10-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-01-19,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-02,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-02-09,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-02-16,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-02-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-01,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-03-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-15,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-03-22,4,4,0,0
AUS,1253,ALP,2016-05-23,2020-03-29,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-04-05,8,8,0,0
AUS,1253,ALP,2016-05-23,2020-04-12,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-04-19,4,4,0,0
AUS,1253,ALP,2016-05-23,2020-04-26,5,5,0,0
AUS,1253,ALP,2016-05-23,2020-05-03,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-05-10,7,6,1,0
AUS,1253,ALP,2016-05-23,2020-05-17,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-05-31,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-07,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-06-21,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-06-28,6,6,0,0
AUS,1253,ALP,2016-05-23,2020-07-05,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-07-12,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-07-19,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-26,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-08-02,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-08-09,4,3,1,0
AUS,1253,ALP,2016-05-23,2020-08-16,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-08-23,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-08-30,3,2,0,1
AUS,1253,ALP,2016-05-23,2020-09-06,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-09-13,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-09-20,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-09-27,4,4,0,0
AUS,1253,ALP,2016-05-23,2020-10-04,6,5,0,1
AUS,1253,ALP,2016-05-23,2020-10-11,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-10-18,7,5,2,0
AUS,1253,ALP,2016-05-23,2020-10-25,11,10,1,0
AUS,1253,ALP,2016-05-23,2020-11-01,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-11-08,5,5,0,0
AUS,1253,ALP,2016-05-23,2020-11-15,5,4,1,0
AUS,1253,ALP,2016-05-23,2020-11-22,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-11-29,6,5,1,0
AUS,1253,ALP,2016-05-23,2020-12-06,6,4,1,1
AUS,1253,ALP,2016-05-23,2020-12-13,5,5,0,0
AUS,1253,ALP,2016-05-23,2020-12-20,9,9,0,0
AUS,1253,ALP,2016-05-23,2020-12-27,4,4,0,0
AUS,1253,ALP,2016-05-23,2021-01-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-17,6,6,0,0
AUS,1253,ALP,2016-05-23,2021-01-24,5,5,0,0
AUS,1253,ALP,2016-05-23,2021-01-31,8,7,1,0
AUS,1253,ALP,2016-05-23,2021-02-07,9,8,0,1
AUS,1253,ALP,2016-05-23,2021-02-14,7,6,1,0
AUS,1253,ALP,2016-05-23,2021-02-21,7,5,0,2
AUS,1253,ALP,2016-05-23,2021-02-28,7,7,0,0
AUS,1253,ALP,2016-05-23,2021-03-07,9,9,0,0
AUS,1253,ALP,2016-05-23,2021-03-14,3,1,0,2
AUS,1253,ALP,2016-05-23,2021-03-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-28,11,11,0,0
AUS,1253,ALP,2016-05-23,2021-04-04,9,9,0,0
AUS,1253,ALP,2016-05-23,2021-04-11,3,2,0,1
