country_name_short,party_id,party_name_short,fb_page_created,year,fb_posts_n_yearly,fb_videos_n_yearly,fb_images_n_yearly
AUS,1253,ALP,2010-02-05,2010,328,39,0
AUS,1253,ALP,2010-02-05,2011,301,3,6
AUS,1253,ALP,2010-02-05,2012,186,2,28
AUS,1253,ALP,2010-02-05,2013,216,13,104
AUS,1253,ALP,2010-02-05,2014,340,51,135
AUS,1253,ALP,2010-02-05,2015,1212,296,191
AUS,1253,ALP,2010-02-05,2016,894,366,272
AUS,1253,ALP,2010-02-05,2017,559,220,215
AUS,1253,ALP,2010-02-05,2018,804,267,267
AUS,1253,ALP,2010-02-05,2019,1123,302,413
AUS,1253,ALP,2010-02-05,2020,773,149,553
AUS,1253,ALP,2010-02-05,2021,1379,206,1070
AUS,1253,ALP,2010-02-05,2022,1749,189,1424
AUS,1253,ALP,2010-02-05,2023,1431,103,1226
AUS,1411,LPA,2008-02-02,2008,54,0,0
AUS,1411,LPA,2008-02-02,2009,247,0,0
AUS,1411,LPA,2008-02-02,2010,186,0,0
AUS,1411,LPA,2008-02-02,2011,133,1,0
AUS,1411,LPA,2008-02-02,2012,161,0,3
AUS,1411,LPA,2008-02-02,2013,90,0,15
AUS,1411,LPA,2008-02-02,2014,108,18,44
AUS,1411,LPA,2008-02-02,2015,211,34,133
AUS,1411,LPA,2008-02-02,2016,307,89,149
AUS,1411,LPA,2008-02-02,2017,240,96,129
AUS,1411,LPA,2008-02-02,2018,402,123,195
AUS,1411,LPA,2008-02-02,2019,1254,408,673
AUS,1411,LPA,2008-02-02,2020,1015,377,587
AUS,1411,LPA,2008-02-02,2021,1354,253,1056
AUS,1411,LPA,2008-02-02,2022,1337,166,1000
AUS,1411,LPA,2008-02-02,2023,669,59,555
AUS,154,LNPQ,2011-03-31,2011,172,0,0
AUS,154,LNPQ,2011-03-31,2012,92,0,2
AUS,154,LNPQ,2011-03-31,2013,176,0,39
AUS,154,LNPQ,2011-03-31,2014,184,10,83
AUS,154,LNPQ,2011-03-31,2015,118,50,34
AUS,154,LNPQ,2011-03-31,2016,184,54,89
AUS,154,LNPQ,2011-03-31,2017,302,166,99
AUS,154,LNPQ,2011-03-31,2018,256,125,95
AUS,154,LNPQ,2011-03-31,2019,470,174,274
AUS,154,LNPQ,2011-03-31,2020,809,275,516
AUS,154,LNPQ,2011-03-31,2021,550,218,324
AUS,154,LNPQ,2011-03-31,2022,746,198,466
AUS,154,LNPQ,2011-03-31,2023,243,40,169
AUS,184,NCP|NPA,2009-11-09,2009,51,0,0
AUS,184,NCP|NPA,2009-11-09,2010,281,3,4
AUS,184,NCP|NPA,2009-11-09,2011,193,1,4
AUS,184,NCP|NPA,2009-11-09,2012,247,0,6
AUS,184,NCP|NPA,2009-11-09,2013,228,6,31
AUS,184,NCP|NPA,2009-11-09,2014,58,9,16
AUS,184,NCP|NPA,2009-11-09,2015,272,30,159
AUS,184,NCP|NPA,2009-11-09,2016,258,42,127
AUS,184,NCP|NPA,2009-11-09,2017,354,128,163
AUS,184,NCP|NPA,2009-11-09,2018,301,81,167
AUS,184,NCP|NPA,2009-11-09,2019,329,57,215
AUS,184,NCP|NPA,2009-11-09,2020,100,22,54
AUS,184,NCP|NPA,2009-11-09,2021,51,16,31
AUS,184,NCP|NPA,2009-11-09,2022,163,38,113
AUS,184,NCP|NPA,2009-11-09,2023,219,39,171
AUS,215,CouLP,2012-02-04,2012,253,2,71
AUS,215,CouLP,2012-02-04,2013,35,0,13
AUS,215,CouLP,2012-02-04,2014,49,2,14
AUS,215,CouLP,2012-02-04,2015,213,20,115
AUS,215,CouLP,2012-02-04,2016,202,66,103
AUS,215,CouLP,2012-02-04,2017,96,23,63
AUS,215,CouLP,2012-02-04,2018,119,20,69
AUS,215,CouLP,2012-02-04,2019,308,98,159
AUS,215,CouLP,2012-02-04,2020,100,18,76
AUS,215,CouLP,2012-02-04,2021,201,18,175
AUS,215,CouLP,2012-02-04,2022,178,27,135
AUS,215,CouLP,2012-02-04,2023,170,51,111
AUS,2258,Katter,2013-06-28,2013,50,1,4
AUS,2258,Katter,2013-06-28,2014,287,3,15
AUS,2258,Katter,2013-06-28,2015,165,16,64
AUS,2258,Katter,2013-06-28,2016,211,28,134
AUS,2258,Katter,2013-06-28,2017,89,20,51
AUS,2258,Katter,2013-06-28,2018,275,51,186
AUS,2258,Katter,2013-06-28,2019,278,79,175
AUS,2258,Katter,2013-06-28,2020,298,14,264
AUS,2258,Katter,2013-06-28,2021,368,12,330
AUS,2258,Katter,2013-06-28,2022,418,78,294
AUS,2258,Katter,2013-06-28,2023,347,29,280
AUS,751,AG,2007-11-13,2008,1,1,0
AUS,751,AG,2007-11-13,2009,99,2,38
AUS,751,AG,2007-11-13,2010,314,1,18
AUS,751,AG,2007-11-13,2011,211,1,0
AUS,751,AG,2007-11-13,2012,695,4,179
AUS,751,AG,2007-11-13,2013,666,5,175
AUS,751,AG,2007-11-13,2014,645,20,179
AUS,751,AG,2007-11-13,2015,1035,86,324
AUS,751,AG,2007-11-13,2016,1063,159,274
AUS,751,AG,2007-11-13,2017,1118,265,258
AUS,751,AG,2007-11-13,2018,801,160,262
AUS,751,AG,2007-11-13,2019,1017,244,400
AUS,751,AG,2007-11-13,2020,885,133,542
AUS,751,AG,2007-11-13,2021,626,63,428
AUS,751,AG,2007-11-13,2022,849,100,546
AUS,751,AG,2007-11-13,2023,451,50,314
AUT,1013,OVP,2008-05-29,2009,6,0,0
AUT,1013,OVP,2008-05-29,2010,18,0,1
AUT,1013,OVP,2008-05-29,2011,21,0,5
AUT,1013,OVP,2008-05-29,2012,33,0,14
AUT,1013,OVP,2008-05-29,2013,35,0,22
AUT,1013,OVP,2008-05-29,2014,25,0,19
AUT,1013,OVP,2008-05-29,2015,3,0,2
AUT,1013,OVP,2008-05-29,2016,36,8,23
AUT,1013,OVP,2008-05-29,2017,838,322,316
AUT,1013,OVP,2008-05-29,2018,1000,390,400
AUT,1013,OVP,2008-05-29,2019,856,407,310
AUT,1013,OVP,2008-05-29,2020,626,231,337
AUT,1013,OVP,2008-05-29,2021,394,117,229
AUT,1013,OVP,2008-05-29,2022,458,135,298
AUT,1013,OVP,2008-05-29,2023,1072,389,611
AUT,1429,Gruene,2008-07-27,2008,2,2,0
AUT,1429,Gruene,2008-07-27,2009,40,0,0
AUT,1429,Gruene,2008-07-27,2010,406,0,11
AUT,1429,Gruene,2008-07-27,2011,557,4,25
AUT,1429,Gruene,2008-07-27,2012,417,1,57
AUT,1429,Gruene,2008-07-27,2013,291,7,69
AUT,1429,Gruene,2008-07-27,2014,316,5,126
AUT,1429,Gruene,2008-07-27,2015,446,65,258
AUT,1429,Gruene,2008-07-27,2016,487,116,245
AUT,1429,Gruene,2008-07-27,2017,738,248,398
AUT,1429,Gruene,2008-07-27,2018,606,220,295
AUT,1429,Gruene,2008-07-27,2019,916,340,504
AUT,1429,Gruene,2008-07-27,2020,1275,460,734
AUT,1429,Gruene,2008-07-27,2021,816,333,465
AUT,1429,Gruene,2008-07-27,2022,703,181,519
AUT,1429,Gruene,2008-07-27,2023,645,176,468
AUT,2255,NEOS,2012-09-09,2012,77,22,4
AUT,2255,NEOS,2012-09-09,2013,469,101,20
AUT,2255,NEOS,2012-09-09,2014,329,53,67
AUT,2255,NEOS,2012-09-09,2015,396,96,165
AUT,2255,NEOS,2012-09-09,2016,707,238,288
AUT,2255,NEOS,2012-09-09,2017,836,356,284
AUT,2255,NEOS,2012-09-09,2018,581,291,228
AUT,2255,NEOS,2012-09-09,2019,1063,497,442
AUT,2255,NEOS,2012-09-09,2020,1073,535,428
AUT,2255,NEOS,2012-09-09,2021,848,386,415
AUT,2255,NEOS,2012-09-09,2022,602,236,351
AUT,2255,NEOS,2012-09-09,2023,394,190,189
AUT,50,FPO,2012-11-15,2012,27,0,0
AUT,50,FPO,2012-11-15,2013,422,4,3
AUT,50,FPO,2012-11-15,2014,229,1,10
AUT,50,FPO,2012-11-15,2015,174,83,10
AUT,50,FPO,2012-11-15,2016,665,242,208
AUT,50,FPO,2012-11-15,2017,943,293,397
AUT,50,FPO,2012-11-15,2018,1296,680,433
AUT,50,FPO,2012-11-15,2019,1654,739,646
AUT,50,FPO,2012-11-15,2020,1731,843,661
AUT,50,FPO,2012-11-15,2021,1707,1044,449
AUT,50,FPO,2012-11-15,2022,1616,971,455
AUT,50,FPO,2012-11-15,2023,1274,635,419
AUT,973,SPO,2009-02-03,2009,208,9,2
AUT,973,SPO,2009-02-03,2010,571,2,1
AUT,973,SPO,2009-02-03,2011,367,21,2
AUT,973,SPO,2009-02-03,2012,248,4,3
AUT,973,SPO,2009-02-03,2013,481,3,39
AUT,973,SPO,2009-02-03,2014,362,2,65
AUT,973,SPO,2009-02-03,2015,317,13,103
AUT,973,SPO,2009-02-03,2016,679,110,321
AUT,973,SPO,2009-02-03,2017,1708,431,660
AUT,973,SPO,2009-02-03,2018,1051,238,519
AUT,973,SPO,2009-02-03,2019,1126,209,793
AUT,973,SPO,2009-02-03,2020,971,266,513
AUT,973,SPO,2009-02-03,2021,1400,343,830
AUT,973,SPO,2009-02-03,2022,960,322,547
AUT,973,SPO,2009-02-03,2023,509,165,329
BEL,1110,PVV|VLD,2009-02-09,2009,184,17,10
BEL,1110,PVV|VLD,2009-02-09,2011,61,3,2
BEL,1110,PVV|VLD,2009-02-09,2012,218,10,9
BEL,1110,PVV|VLD,2009-02-09,2013,333,8,35
BEL,1110,PVV|VLD,2009-02-09,2014,167,3,36
BEL,1110,PVV|VLD,2009-02-09,2015,338,9,108
BEL,1110,PVV|VLD,2009-02-09,2016,458,77,150
BEL,1110,PVV|VLD,2009-02-09,2017,714,188,336
BEL,1110,PVV|VLD,2009-02-09,2018,448,115,287
BEL,1110,PVV|VLD,2009-02-09,2019,620,210,328
BEL,1110,PVV|VLD,2009-02-09,2020,663,118,537
BEL,1110,PVV|VLD,2009-02-09,2021,349,69,279
BEL,1110,PVV|VLD,2009-02-09,2022,334,57,276
BEL,1110,PVV|VLD,2009-02-09,2023,466,116,349
BEL,1113,SPa+Spi,2009-03-16,2016,4,0,0
