country_name_short,party_id,party_name_short,insta_page_created,year,insta_posts_n_yearly,insta_type_img_n_yearly,insta_type_vid_n_yearly,insta_type_car_n_yearly
AUS,1253,ALP,2016-05-23,2016,86,81,5,0
AUS,1253,ALP,2016-05-23,2018,41,36,1,4
AUS,1253,ALP,2016-05-23,2019,122,111,1,10
AUS,1253,ALP,2016-05-23,2020,187,175,9,3
AUS,1253,ALP,2016-05-23,2021,573,519,31,23
AUS,1253,ALP,2016-05-23,2022,1169,977,95,97
AUS,1253,ALP,2016-05-23,2023,1241,868,188,185
AUS,1411,LPA,2013-03-20,2013,24,24,0,0
AUS,1411,LPA,2013-03-20,2014,4,4,0,0
AUS,1411,LPA,2013-03-20,2015,15,15,0,0
AUS,1411,LPA,2013-03-20,2016,12,12,0,0
AUS,1411,LPA,2013-03-20,2019,106,85,11,10
AUS,1411,LPA,2013-03-20,2020,128,122,6,0
AUS,1411,LPA,2013-03-20,2021,681,647,34,0
AUS,1411,LPA,2013-03-20,2022,767,605,143,19
AUS,1411,LPA,2013-03-20,2023,519,488,29,2
AUS,154,LNPQ,2016-11-15,2016,29,29,0,0
AUS,154,LNPQ,2016-11-15,2017,33,31,1,1
AUS,154,LNPQ,2016-11-15,2018,10,5,4,1
AUS,154,LNPQ,2016-11-15,2019,22,20,2,0
AUS,154,LNPQ,2016-11-15,2020,148,117,30,1
AUS,154,LNPQ,2016-11-15,2021,167,83,49,35
AUS,154,LNPQ,2016-11-15,2022,316,155,101,60
AUS,154,LNPQ,2016-11-15,2023,101,81,13,7
AUS,184,NCP|NPA,2017-03-27,2017,119,119,0,0
AUS,184,NCP|NPA,2017-03-27,2018,145,137,3,5
AUS,184,NCP|NPA,2017-03-27,2019,181,166,12,3
AUS,184,NCP|NPA,2017-03-27,2020,23,20,1,2
AUS,184,NCP|NPA,2017-03-27,2023,122,104,17,1
AUS,215,CouLP,2020-02-23,2020,583,479,29,75
AUS,215,CouLP,2020-02-23,2021,470,409,37,24
AUS,215,CouLP,2020-02-23,2022,406,322,20,64
AUS,215,CouLP,2020-02-23,2023,728,381,166,181
AUS,2258,Katter,2020-06-12,2020,109,108,0,1
AUS,2258,Katter,2020-06-12,2021,281,279,0,2
AUS,2258,Katter,2020-06-12,2022,278,251,25,2
AUS,2258,Katter,2020-06-12,2023,264,245,16,3
AUS,2259,PUP,2021-10-31,2021,38,38,0,0
AUS,2259,PUP,2021-10-31,2022,53,26,25,2
AUS,751,AG,2013-08-09,2013,19,19,0,0
AUS,751,AG,2013-08-09,2014,17,16,1,0
AUS,751,AG,2013-08-09,2016,18,18,0,0
AUS,751,AG,2013-08-09,2018,67,45,3,19
AUS,751,AG,2013-08-09,2019,179,93,32,54
AUS,751,AG,2013-08-09,2020,244,160,24,60
AUS,751,AG,2013-08-09,2021,515,356,35,124
AUS,751,AG,2013-08-09,2022,1252,591,261,400
AUS,751,AG,2013-08-09,2023,928,323,289,316
AUT,1013,OVP,2017-01-19,2017,265,251,6,8
AUT,1013,OVP,2017-01-19,2018,263,195,31,37
AUT,1013,OVP,2017-01-19,2019,367,185,94,88
AUT,1013,OVP,2017-01-19,2020,427,217,121,89
AUT,1013,OVP,2017-01-19,2021,279,154,72,53
AUT,1013,OVP,2017-01-19,2022,394,211,122,61
AUT,1013,OVP,2017-01-19,2023,888,396,303,189
AUT,1429,Gruene,2015-01-07,2015,211,208,3,0
AUT,1429,Gruene,2015-01-07,2016,64,57,7,0
AUT,1429,Gruene,2015-01-07,2017,226,188,25,13
AUT,1429,Gruene,2015-01-07,2018,337,288,29,20
AUT,1429,Gruene,2015-01-07,2019,883,512,166,205
AUT,1429,Gruene,2015-01-07,2020,630,413,101,116
AUT,1429,Gruene,2015-01-07,2021,333,174,99,60
AUT,1429,Gruene,2015-01-07,2022,436,248,104,84
AUT,1429,Gruene,2015-01-07,2023,563,232,196,135
AUT,2150,TS,2013-07-23,2013,16,16,0,0
AUT,2255,NEOS,2012-10-26,2012,17,17,0,0
AUT,2255,NEOS,2012-10-26,2013,38,24,14,0
AUT,2255,NEOS,2012-10-26,2014,88,70,18,0
AUT,2255,NEOS,2012-10-26,2015,87,61,26,0
AUT,2255,NEOS,2012-10-26,2016,42,28,14,0
AUT,2255,NEOS,2012-10-26,2017,39,29,5,5
AUT,2255,NEOS,2012-10-26,2018,80,74,3,3
AUT,2255,NEOS,2012-10-26,2019,158,88,63,7
AUT,2255,NEOS,2012-10-26,2020,255,189,56,10
AUT,2255,NEOS,2012-10-26,2021,451,289,140,22
AUT,2255,NEOS,2012-10-26,2022,642,356,224,62
AUT,2255,NEOS,2012-10-26,2023,834,339,405,90
AUT,2651,PILZ,2019-09-09,2019,33,26,7,0
AUT,50,FPO,2017-06-07,2017,129,66,4,59
AUT,50,FPO,2017-06-07,2018,210,138,8,64
AUT,50,FPO,2017-06-07,2019,324,199,81,44
AUT,50,FPO,2017-06-07,2020,223,197,15,11
AUT,50,FPO,2017-06-07,2021,110,90,0,20
AUT,50,FPO,2017-06-07,2022,95,63,1,31
AUT,50,FPO,2017-06-07,2023,62,44,1,17
AUT,973,SPO,2017-06-22,2017,119,100,13,6
AUT,973,SPO,2017-06-22,2018,83,68,7,8
AUT,973,SPO,2017-06-22,2019,508,438,44,26
AUT,973,SPO,2017-06-22,2020,447,345,91,11
AUT,973,SPO,2017-06-22,2021,889,684,157,48
AUT,973,SPO,2017-06-22,2022,820,401,339,80
AUT,973,SPO,2017-06-22,2023,647,365,238,44
BEL,1110,PVV|VLD,2013-07-19,2013,14,13,1,0
BEL,1110,PVV|VLD,2013-07-19,2014,31,31,0,0
BEL,1110,PVV|VLD,2013-07-19,2015,3,3,0,0
BEL,1110,PVV|VLD,2013-07-19,2016,110,104,6,0
BEL,1110,PVV|VLD,2013-07-19,2017,199,145,18,36
BEL,1110,PVV|VLD,2013-07-19,2018,327,214,45,68
BEL,1110,PVV|VLD,2013-07-19,2019,225,125,16,84
BEL,1110,PVV|VLD,2013-07-19,2020,225,172,18,35
BEL,1110,PVV|VLD,2013-07-19,2021,236,130,39,67
BEL,1110,PVV|VLD,2013-07-19,2022,133,66,51,16
BEL,1110,PVV|VLD,2013-07-19,2023,277,116,129,32
BEL,1113,SPa+Spi,2014-04-03,2014,115,103,12,0
BEL,1113,SPa+Spi,2014-04-03,2015,211,204,7,0
BEL,1113,SPa+Spi,2014-04-03,2016,152,142,10,0
BEL,1113,SPa+Spi,2014-04-03,2017,29,29,0,0
BEL,1113,SPa+Spi,2014-04-03,2018,86,72,4,10
BEL,1113,SPa+Spi,2014-04-03,2019,117,59,42,16
BEL,1113,SPa+Spi,2014-04-03,2020,180,33,65,82
BEL,1113,SPa+Spi,2014-04-03,2021,506,293,84,129
BEL,1113,SPa+Spi,2014-04-03,2022,234,54,111,69
BEL,1113,SPa+Spi,2014-04-03,2023,388,151,149,88
BEL,1192,PSC-CDH,2020-01-14,2020,53,37,15,1
BEL,1192,PSC-CDH,2020-01-14,2021,83,26,57,0
BEL,1192,PSC-CDH,2020-01-14,2022,230,104,109,17
BEL,1192,PSC-CDH,2020-01-14,2023,418,221,167,30
BEL,1378,PS,2019-07-09,2019,1,0,1,0
BEL,1378,PS,2019-07-09,2020,168,85,51,32
BEL,1378,PS,2019-07-09,2021,425,158,95,172
BEL,1378,PS,2019-07-09,2022,411,190,76,145
BEL,1378,PS,2019-07-09,2023,376,156,89,131
BEL,1594,AGL-Gr,2012-11-21,2012,4,4,0,0
BEL,1594,AGL-Gr,2012-11-21,2013,19,19,0,0
BEL,1594,AGL-Gr,2012-11-21,2014,101,99,2,0
