country_name_short,party_id,party_name_short,tw_page_created,year,tw_posts_n_yearly
AUS,1253,ALP,2010-02-05,2010,2046
AUS,1253,ALP,2010-02-05,2011,2571
AUS,1253,ALP,2010-02-05,2012,1643
AUS,1253,ALP,2010-02-05,2013,1308
AUS,1253,ALP,2010-02-05,2014,1013
AUS,1253,ALP,2010-02-05,2015,3507
AUS,1253,ALP,2010-02-05,2016,1875
AUS,1253,ALP,2010-02-05,2017,138
AUS,1253,ALP,2010-02-05,2018,539
AUS,1253,ALP,2010-02-05,2019,1150
AUS,1253,ALP,2010-02-05,2020,351
AUS,1253,ALP,2010-02-05,2021,320
AUS,1253,ALP,2010-02-05,2022,713
AUS,1253,ALP,2010-02-05,2023,65
AUS,1411,LPA,2009-04-04,2009,678
AUS,1411,LPA,2009-04-04,2010,1812
AUS,1411,LPA,2009-04-04,2011,1504
AUS,1411,LPA,2009-04-04,2012,879
AUS,1411,LPA,2009-04-04,2013,1245
AUS,1411,LPA,2009-04-04,2014,723
AUS,1411,LPA,2009-04-04,2015,412
AUS,1411,LPA,2009-04-04,2016,465
AUS,1411,LPA,2009-04-04,2017,215
AUS,1411,LPA,2009-04-04,2018,181
AUS,1411,LPA,2009-04-04,2019,947
AUS,1411,LPA,2009-04-04,2020,145
AUS,1411,LPA,2009-04-04,2021,97
AUS,1411,LPA,2009-04-04,2022,170
AUS,1411,LPA,2009-04-04,2023,60
AUS,154,LNPQ,2010-08-18,2010,130
AUS,154,LNPQ,2010-08-18,2011,634
AUS,154,LNPQ,2010-08-18,2012,501
AUS,154,LNPQ,2010-08-18,2013,370
AUS,154,LNPQ,2010-08-18,2014,251
AUS,154,LNPQ,2010-08-18,2015,376
AUS,154,LNPQ,2010-08-18,2016,50
AUS,154,LNPQ,2010-08-18,2017,300
AUS,154,LNPQ,2010-08-18,2018,183
AUS,154,LNPQ,2010-08-18,2019,58
AUS,154,LNPQ,2010-08-18,2020,181
AUS,154,LNPQ,2010-08-18,2021,77
AUS,154,LNPQ,2010-08-18,2022,228
AUS,154,LNPQ,2010-08-18,2023,72
AUS,184,NCP|NPA,2010-09-20,2010,39
AUS,184,NCP|NPA,2010-09-20,2011,242
AUS,184,NCP|NPA,2010-09-20,2012,180
AUS,184,NCP|NPA,2010-09-20,2013,192
AUS,184,NCP|NPA,2010-09-20,2014,216
AUS,184,NCP|NPA,2010-09-20,2015,72
AUS,184,NCP|NPA,2010-09-20,2016,263
AUS,184,NCP|NPA,2010-09-20,2017,107
AUS,184,NCP|NPA,2010-09-20,2018,98
AUS,184,NCP|NPA,2010-09-20,2019,176
AUS,184,NCP|NPA,2010-09-20,2020,35
AUS,184,NCP|NPA,2010-09-20,2021,10
AUS,184,NCP|NPA,2010-09-20,2022,86
AUS,184,NCP|NPA,2010-09-20,2023,7
AUS,2259,PUP,2013-04-26,2013,91
AUS,2259,PUP,2013-04-26,2018,95
AUS,2259,PUP,2013-04-26,2019,226
AUS,2259,PUP,2013-04-26,2020,73
AUS,2259,PUP,2013-04-26,2021,202
AUS,2259,PUP,2013-04-26,2022,343
AUS,2259,PUP,2013-04-26,2023,105
AUS,2630,NXT,2015-12-04,2015,6
AUS,2630,NXT,2015-12-04,2016,40
AUS,2630,NXT,2015-12-04,2017,13
AUS,2630,NXT,2015-12-04,2018,19
AUS,2630,NXT,2015-12-04,2019,34
AUS,751,AG,2007-08-02,2007,3
AUS,751,AG,2007-08-02,2008,2
AUS,751,AG,2007-08-02,2009,148
AUS,751,AG,2007-08-02,2010,390
AUS,751,AG,2007-08-02,2011,28
AUS,751,AG,2007-08-02,2013,899
AUS,751,AG,2007-08-02,2014,225
AUS,751,AG,2007-08-02,2015,767
AUS,751,AG,2007-08-02,2016,898
AUS,751,AG,2007-08-02,2017,87
AUS,751,AG,2007-08-02,2018,24
AUS,751,AG,2007-08-02,2019,343
AUS,751,AG,2007-08-02,2020,389
AUS,751,AG,2007-08-02,2021,184
AUS,751,AG,2007-08-02,2022,175
AUS,751,AG,2007-08-02,2023,4
AUT,1013,OVP,2013-07-26,2013,183
AUT,1013,OVP,2013-07-26,2014,324
AUT,1013,OVP,2013-07-26,2015,311
AUT,1013,OVP,2013-07-26,2016,1216
AUT,1013,OVP,2013-07-26,2017,3562
AUT,1013,OVP,2013-07-26,2018,529
AUT,1013,OVP,2013-07-26,2019,727
AUT,1013,OVP,2013-07-26,2020,601
AUT,1013,OVP,2013-07-26,2021,42
AUT,1013,OVP,2013-07-26,2022,70
AUT,1013,OVP,2013-07-26,2023,486
AUT,1429,Gruene,2011-06-14,2011,279
AUT,1429,Gruene,2011-06-14,2012,521
AUT,1429,Gruene,2011-06-14,2013,999
AUT,1429,Gruene,2011-06-14,2014,1831
AUT,1429,Gruene,2011-06-14,2015,1278
AUT,1429,Gruene,2011-06-14,2016,897
AUT,1429,Gruene,2011-06-14,2017,1880
AUT,1429,Gruene,2011-06-14,2018,428
AUT,1429,Gruene,2011-06-14,2019,2274
AUT,1429,Gruene,2011-06-14,2020,526
AUT,1429,Gruene,2011-06-14,2021,406
AUT,1429,Gruene,2011-06-14,2022,210
AUT,1429,Gruene,2011-06-14,2023,383
AUT,2150,TS,2012-09-29,2012,17
AUT,2255,NEOS,2012-10-22,2012,844
AUT,2255,NEOS,2012-10-22,2013,5357
AUT,2255,NEOS,2012-10-22,2014,7623
AUT,2255,NEOS,2012-10-22,2015,6853
AUT,2255,NEOS,2012-10-22,2016,5009
AUT,2255,NEOS,2012-10-22,2017,4468
AUT,2255,NEOS,2012-10-22,2018,3447
AUT,2255,NEOS,2012-10-22,2019,6121
AUT,2255,NEOS,2012-10-22,2020,4146
AUT,2255,NEOS,2012-10-22,2021,2780
AUT,2255,NEOS,2012-10-22,2022,883
AUT,2255,NEOS,2012-10-22,2023,629
AUT,50,FPO,2020-02-15,2020,642
AUT,50,FPO,2020-02-15,2021,418
AUT,50,FPO,2020-02-15,2022,982
AUT,50,FPO,2020-02-15,2023,996
AUT,973,SPO,2010-10-19,2010,62
AUT,973,SPO,2010-10-19,2011,331
AUT,973,SPO,2010-10-19,2012,204
AUT,973,SPO,2010-10-19,2013,397
AUT,973,SPO,2010-10-19,2014,388
AUT,973,SPO,2010-10-19,2015,154
AUT,973,SPO,2010-10-19,2016,517
AUT,973,SPO,2010-10-19,2017,2144
AUT,973,SPO,2010-10-19,2018,1012
AUT,973,SPO,2010-10-19,2019,1806
AUT,973,SPO,2010-10-19,2020,874
AUT,973,SPO,2010-10-19,2021,1359
AUT,973,SPO,2010-10-19,2022,1520
AUT,973,SPO,2010-10-19,2023,1344
BEL,1110,PVV|VLD,2009-03-02,2009,220
BEL,1110,PVV|VLD,2009-03-02,2010,252
BEL,1110,PVV|VLD,2009-03-02,2011,159
BEL,1110,PVV|VLD,2009-03-02,2012,217
BEL,1110,PVV|VLD,2009-03-02,2013,906
BEL,1110,PVV|VLD,2009-03-02,2014,768
BEL,1110,PVV|VLD,2009-03-02,2015,983
BEL,1110,PVV|VLD,2009-03-02,2016,1335
BEL,1110,PVV|VLD,2009-03-02,2017,799
BEL,1110,PVV|VLD,2009-03-02,2018,806
BEL,1110,PVV|VLD,2009-03-02,2019,1160
BEL,1110,PVV|VLD,2009-03-02,2020,531
BEL,1110,PVV|VLD,2009-03-02,2021,430
BEL,1110,PVV|VLD,2009-03-02,2022,562
BEL,1110,PVV|VLD,2009-03-02,2023,539
