country_name_short,party_id,party_name_short,yt_page_created,year,yt_videos_n_yearly
AUS,1253,ALP,2007-06-11,2007,64
AUS,1253,ALP,2007-06-11,2009,2
AUS,1253,ALP,2007-06-11,2010,98
AUS,1253,ALP,2007-06-11,2011,119
AUS,1253,ALP,2007-06-11,2012,23
AUS,1253,ALP,2007-06-11,2013,69
AUS,1253,ALP,2007-06-11,2014,66
AUS,1253,ALP,2007-06-11,2015,11
AUS,1253,ALP,2007-06-11,2016,89
AUS,1253,ALP,2007-06-11,2017,6
AUS,1253,ALP,2007-06-11,2018,49
AUS,1253,ALP,2007-06-11,2019,71
AUS,1253,ALP,2007-06-11,2020,2
AUS,1253,ALP,2007-06-11,2021,15
AUS,1253,ALP,2007-06-11,2022,9
AUS,1411,LPA,2008-09-29,2010,5
AUS,1411,LPA,2008-09-29,2011,1
AUS,1411,LPA,2008-09-29,2012,3
AUS,1411,LPA,2008-09-29,2013,6
AUS,1411,LPA,2008-09-29,2015,2
AUS,1411,LPA,2008-09-29,2016,1
AUS,1411,LPA,2008-09-29,2017,1
AUS,1411,LPA,2008-09-29,2018,5
AUS,1411,LPA,2008-09-29,2019,81
AUS,1411,LPA,2008-09-29,2020,4
AUS,1411,LPA,2008-09-29,2021,11
AUS,1411,LPA,2008-09-29,2022,53
AUS,1411,LPA,2008-09-29,2023,6
AUS,154,LNPQ,2008-07-27,2016,8
AUS,154,LNPQ,2008-07-27,2017,11
AUS,154,LNPQ,2008-07-27,2018,18
AUS,154,LNPQ,2008-07-27,2019,11
AUS,154,LNPQ,2008-07-27,2020,25
AUS,154,LNPQ,2008-07-27,2021,3
AUS,154,LNPQ,2008-07-27,2022,22
AUS,154,LNPQ,2008-07-27,2023,4
AUS,184,NCP|NPA,2007-08-27,2011,4
AUS,184,NCP|NPA,2007-08-27,2013,32
AUS,184,NCP|NPA,2007-08-27,2014,11
AUS,184,NCP|NPA,2007-08-27,2015,5
AUS,184,NCP|NPA,2007-08-27,2016,13
AUS,184,NCP|NPA,2007-08-27,2017,2
AUS,184,NCP|NPA,2007-08-27,2019,4
AUS,184,NCP|NPA,2007-08-27,2020,4
AUS,184,NCP|NPA,2007-08-27,2021,2
