country_name_short,party_id,party_name_short,insta_page_created,day,insta_posts_n_daily,insta_type_img_n_daily,insta_type_vid_n_daily,insta_type_car_n_daily
AUS,1253,ALP,2016-05-23,2016-05-23,17,16,1,0
AUS,1253,ALP,2016-05-23,2016-05-26,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-05-27,1,0,1,0
AUS,1253,ALP,2016-05-23,2016-05-28,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-05-29,2,1,1,0
AUS,1253,ALP,2016-05-23,2016-05-31,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-01,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-06-02,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-06-03,2,2,0,0
AUS,1253,ALP,2016-05-23,2016-06-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-05,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-06-07,2,2,0,0
AUS,1253,ALP,2016-05-23,2016-06-08,4,4,0,0
AUS,1253,ALP,2016-05-23,2016-06-09,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-06-10,2,1,1,0
AUS,1253,ALP,2016-05-23,2016-06-11,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-06-12,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-13,2,2,0,0
AUS,1253,ALP,2016-05-23,2016-06-14,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-15,2,2,0,0
AUS,1253,ALP,2016-05-23,2016-06-17,3,3,0,0
AUS,1253,ALP,2016-05-23,2016-06-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2016-06-25,4,4,0,0
AUS,1253,ALP,2016-05-23,2016-06-26,2,1,1,0
AUS,1253,ALP,2016-05-23,2016-06-27,2,2,0,0
AUS,1253,ALP,2016-05-23,2016-06-28,2,2,0,0
