country_name_short,party_id,party_name_short,yt_page_created,day,yt_videos_n_daily
AUS,1253,ALP,2007-06-11,2007-07-17,3
AUS,1253,ALP,2007-06-11,2007-07-27,1
AUS,1253,ALP,2007-06-11,2007-08-06,8
AUS,1253,ALP,2007-06-11,2007-08-07,12
AUS,1253,ALP,2007-06-11,2007-08-08,1
AUS,1253,ALP,2007-06-11,2007-08-09,1
AUS,1253,ALP,2007-06-11,2007-08-13,1
AUS,1253,ALP,2007-06-11,2007-08-25,1
AUS,1253,ALP,2007-06-11,2007-08-26,1
AUS,1253,ALP,2007-06-11,2007-08-29,2
AUS,1253,ALP,2007-06-11,2007-09-04,1
AUS,1253,ALP,2007-06-11,2007-09-06,1
AUS,1253,ALP,2007-06-11,2007-09-10,2
AUS,1253,ALP,2007-06-11,2007-09-13,1
AUS,1253,ALP,2007-06-11,2007-09-17,2
AUS,1253,ALP,2007-06-11,2007-09-22,1
AUS,1253,ALP,2007-06-11,2007-09-28,2
AUS,1253,ALP,2007-06-11,2007-10-02,1
AUS,1253,ALP,2007-06-11,2007-10-04,1
AUS,1253,ALP,2007-06-11,2007-10-12,1
AUS,1253,ALP,2007-06-11,2007-10-14,1
AUS,1253,ALP,2007-06-11,2007-10-15,1
AUS,1253,ALP,2007-06-11,2007-10-16,1
AUS,1253,ALP,2007-06-11,2007-10-17,1
AUS,1253,ALP,2007-06-11,2007-10-19,1
AUS,1253,ALP,2007-06-11,2007-10-22,1
AUS,1253,ALP,2007-06-11,2007-10-25,1
AUS,1253,ALP,2007-06-11,2007-11-01,1
AUS,1253,ALP,2007-06-11,2007-11-04,1
AUS,1253,ALP,2007-06-11,2007-11-07,3
AUS,1253,ALP,2007-06-11,2007-11-08,1
AUS,1253,ALP,2007-06-11,2007-11-11,1
AUS,1253,ALP,2007-06-11,2007-11-13,1
AUS,1253,ALP,2007-06-11,2007-11-14,1
AUS,1253,ALP,2007-06-11,2007-11-15,3
AUS,1253,ALP,2007-06-11,2007-11-16,1
AUS,1253,ALP,2007-06-11,2009-09-28,1
AUS,1253,ALP,2007-06-11,2009-12-01,1
AUS,1253,ALP,2007-06-11,2010-03-17,1
AUS,1253,ALP,2007-06-11,2010-03-30,1
AUS,1253,ALP,2007-06-11,2010-05-18,1
AUS,1253,ALP,2007-06-11,2010-06-19,1
AUS,1253,ALP,2007-06-11,2010-07-11,1
AUS,1253,ALP,2007-06-11,2010-07-14,1
AUS,1253,ALP,2007-06-11,2010-07-17,3
AUS,1253,ALP,2007-06-11,2010-07-18,2
AUS,1253,ALP,2007-06-11,2010-07-19,2
AUS,1253,ALP,2007-06-11,2010-07-20,1
AUS,1253,ALP,2007-06-11,2010-07-21,2
AUS,1253,ALP,2007-06-11,2010-07-23,2
AUS,1253,ALP,2007-06-11,2010-07-25,1
AUS,1253,ALP,2007-06-11,2010-07-26,1
AUS,1253,ALP,2007-06-11,2010-07-27,1
AUS,1253,ALP,2007-06-11,2010-07-29,7
AUS,1253,ALP,2007-06-11,2010-07-31,1
AUS,1253,ALP,2007-06-11,2010-08-02,1
AUS,1253,ALP,2007-06-11,2010-08-03,5
AUS,1253,ALP,2007-06-11,2010-08-04,1
AUS,1253,ALP,2007-06-11,2010-08-07,1
AUS,1253,ALP,2007-06-11,2010-08-08,1
AUS,1253,ALP,2007-06-11,2010-08-09,1
