country_name_short,party_id,party_name_short,fb_page_created,month,fb_posts_n_monthly,fb_videos_n_monthly,fb_images_n_monthly
AUS,1253,ALP,2010-02-05,2010-02-01,12,0,0
AUS,1253,ALP,2010-02-05,2010-03-01,22,2,0
AUS,1253,ALP,2010-02-05,2010-04-01,20,1,0
AUS,1253,ALP,2010-02-05,2010-05-01,25,0,0
AUS,1253,ALP,2010-02-05,2010-06-01,24,0,0
AUS,1253,ALP,2010-02-05,2010-07-01,51,6,0
AUS,1253,ALP,2010-02-05,2010-08-01,71,11,0
AUS,1253,ALP,2010-02-05,2010-09-01,18,2,0
AUS,1253,ALP,2010-02-05,2010-10-01,31,7,0
AUS,1253,ALP,2010-02-05,2010-11-01,37,7,0
AUS,1253,ALP,2010-02-05,2010-12-01,17,3,0
AUS,1253,ALP,2010-02-05,2011-01-01,7,0,0
AUS,1253,ALP,2010-02-05,2011-02-01,20,3,0
AUS,1253,ALP,2010-02-05,2011-03-01,31,0,0
AUS,1253,ALP,2010-02-05,2011-04-01,24,0,0
AUS,1253,ALP,2010-02-05,2011-05-01,29,0,3
AUS,1253,ALP,2010-02-05,2011-06-01,22,0,0
AUS,1253,ALP,2010-02-05,2011-07-01,44,0,1
AUS,1253,ALP,2010-02-05,2011-08-01,19,0,0
AUS,1253,ALP,2010-02-05,2011-09-01,31,0,0
AUS,1253,ALP,2010-02-05,2011-10-01,27,0,0
AUS,1253,ALP,2010-02-05,2011-11-01,23,0,0
AUS,1253,ALP,2010-02-05,2011-12-01,24,0,2
AUS,1253,ALP,2010-02-05,2012-01-01,20,0,0
AUS,1253,ALP,2010-02-05,2012-02-01,49,0,6
AUS,1253,ALP,2010-02-05,2012-03-01,39,0,1
AUS,1253,ALP,2010-02-05,2012-04-01,14,0,2
AUS,1253,ALP,2010-02-05,2012-05-01,14,1,5
AUS,1253,ALP,2010-02-05,2012-06-01,10,0,2
AUS,1253,ALP,2010-02-05,2012-07-01,8,0,2
AUS,1253,ALP,2010-02-05,2012-08-01,7,0,2
AUS,1253,ALP,2010-02-05,2012-09-01,6,0,2
AUS,1253,ALP,2010-02-05,2012-10-01,7,0,2
AUS,1253,ALP,2010-02-05,2012-11-01,9,1,3
AUS,1253,ALP,2010-02-05,2012-12-01,3,0,1
AUS,1253,ALP,2010-02-05,2013-01-01,12,0,5
AUS,1253,ALP,2010-02-05,2013-02-01,12,1,10
AUS,1253,ALP,2010-02-05,2013-03-01,27,1,18
AUS,1253,ALP,2010-02-05,2013-04-01,19,0,13
AUS,1253,ALP,2010-02-05,2013-05-01,22,1,12
AUS,1253,ALP,2010-02-05,2013-06-01,14,0,2
AUS,1253,ALP,2010-02-05,2013-07-01,20,0,13
AUS,1253,ALP,2010-02-05,2013-08-01,29,8,11
AUS,1253,ALP,2010-02-05,2013-09-01,7,0,0
AUS,1253,ALP,2010-02-05,2013-10-01,17,0,5
AUS,1253,ALP,2010-02-05,2013-11-01,16,1,6
AUS,1253,ALP,2010-02-05,2013-12-01,21,1,9
AUS,1253,ALP,2010-02-05,2014-01-01,20,0,10
AUS,1253,ALP,2010-02-05,2014-02-01,28,2,14
AUS,1253,ALP,2010-02-05,2014-03-01,29,1,10
AUS,1253,ALP,2010-02-05,2014-04-01,21,2,9
AUS,1253,ALP,2010-02-05,2014-05-01,37,3,20
AUS,1253,ALP,2010-02-05,2014-06-01,28,3,12
AUS,1253,ALP,2010-02-05,2014-07-01,29,3,17
AUS,1253,ALP,2010-02-05,2014-08-01,30,7,15
AUS,1253,ALP,2010-02-05,2014-09-01,29,5,10
AUS,1253,ALP,2010-02-05,2014-10-01,32,10,7
