country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,1253,ALP,2010-02-05,2010-02-01,29
AUS,1253,ALP,2010-02-05,2010-03-01,17
AUS,1253,ALP,2010-02-05,2010-04-01,16
AUS,1253,ALP,2010-02-05,2010-05-01,95
AUS,1253,ALP,2010-02-05,2010-06-01,132
AUS,1253,ALP,2010-02-05,2010-07-01,425
AUS,1253,ALP,2010-02-05,2010-08-01,774
AUS,1253,ALP,2010-02-05,2010-09-01,50
AUS,1253,ALP,2010-02-05,2010-10-01,146
AUS,1253,ALP,2010-02-05,2010-11-01,219
AUS,1253,ALP,2010-02-05,2010-12-01,143
AUS,1253,ALP,2010-02-05,2011-01-01,87
AUS,1253,ALP,2010-02-05,2011-02-01,80
AUS,1253,ALP,2010-02-05,2011-03-01,150
AUS,1253,ALP,2010-02-05,2011-04-01,128
AUS,1253,ALP,2010-02-05,2011-05-01,247
AUS,1253,ALP,2010-02-05,2011-06-01,137
AUS,1253,ALP,2010-02-05,2011-07-01,204
AUS,1253,ALP,2010-02-05,2011-08-01,229
AUS,1253,ALP,2010-02-05,2011-09-01,307
AUS,1253,ALP,2010-02-05,2011-10-01,237
AUS,1253,ALP,2010-02-05,2011-11-01,198
AUS,1253,ALP,2010-02-05,2011-12-01,567
AUS,1253,ALP,2010-02-05,2012-01-01,142
AUS,1253,ALP,2010-02-05,2012-02-01,396
AUS,1253,ALP,2010-02-05,2012-03-01,461
AUS,1253,ALP,2010-02-05,2012-04-01,97
AUS,1253,ALP,2010-02-05,2012-05-01,178
AUS,1253,ALP,2010-02-05,2012-06-01,70
AUS,1253,ALP,2010-02-05,2012-07-01,65
AUS,1253,ALP,2010-02-05,2012-08-01,46
AUS,1253,ALP,2010-02-05,2012-09-01,67
AUS,1253,ALP,2010-02-05,2012-10-01,24
AUS,1253,ALP,2010-02-05,2012-11-01,61
AUS,1253,ALP,2010-02-05,2012-12-01,36
AUS,1253,ALP,2010-02-05,2013-01-01,32
AUS,1253,ALP,2010-02-05,2013-02-01,67
AUS,1253,ALP,2010-02-05,2013-03-01,78
AUS,1253,ALP,2010-02-05,2013-04-01,47
AUS,1253,ALP,2010-02-05,2013-05-01,58
AUS,1253,ALP,2010-02-05,2013-06-01,83
AUS,1253,ALP,2010-02-05,2013-07-01,84
AUS,1253,ALP,2010-02-05,2013-08-01,363
AUS,1253,ALP,2010-02-05,2013-09-01,224
AUS,1253,ALP,2010-02-05,2013-10-01,91
