country_name_short,party_id,party_name_short,tw_page_created,week,tw_posts_n_weekly
AUS,1253,ALP,2010-02-05,2010-01-31,2
AUS,1253,ALP,2010-02-05,2010-02-07,12
AUS,1253,ALP,2010-02-05,2010-02-14,7
AUS,1253,ALP,2010-02-05,2010-02-21,8
AUS,1253,ALP,2010-02-05,2010-02-28,12
AUS,1253,ALP,2010-02-05,2010-03-07,2
AUS,1253,ALP,2010-02-05,2010-03-21,3
AUS,1253,ALP,2010-02-05,2010-04-04,7
AUS,1253,ALP,2010-02-05,2010-04-11,6
AUS,1253,ALP,2010-02-05,2010-04-25,3
AUS,1253,ALP,2010-02-05,2010-05-02,10
AUS,1253,ALP,2010-02-05,2010-05-09,6
AUS,1253,ALP,2010-02-05,2010-05-16,48
AUS,1253,ALP,2010-02-05,2010-05-23,23
AUS,1253,ALP,2010-02-05,2010-05-30,53
AUS,1253,ALP,2010-02-05,2010-06-06,19
AUS,1253,ALP,2010-02-05,2010-06-13,33
AUS,1253,ALP,2010-02-05,2010-06-20,11
AUS,1253,ALP,2010-02-05,2010-06-27,34
AUS,1253,ALP,2010-02-05,2010-07-04,11
AUS,1253,ALP,2010-02-05,2010-07-11,40
AUS,1253,ALP,2010-02-05,2010-07-18,180
AUS,1253,ALP,2010-02-05,2010-07-25,184
AUS,1253,ALP,2010-02-05,2010-08-01,241
AUS,1253,ALP,2010-02-05,2010-08-08,208
AUS,1253,ALP,2010-02-05,2010-08-15,320
AUS,1253,ALP,2010-02-05,2010-08-22,3
AUS,1253,ALP,2010-02-05,2010-08-29,6
AUS,1253,ALP,2010-02-05,2010-09-05,18
AUS,1253,ALP,2010-02-05,2010-09-12,10
AUS,1253,ALP,2010-02-05,2010-09-19,11
AUS,1253,ALP,2010-02-05,2010-09-26,15
AUS,1253,ALP,2010-02-05,2010-10-03,43
AUS,1253,ALP,2010-02-05,2010-10-10,29
AUS,1253,ALP,2010-02-05,2010-10-17,13
AUS,1253,ALP,2010-02-05,2010-10-24,53
AUS,1253,ALP,2010-02-05,2010-10-31,39
AUS,1253,ALP,2010-02-05,2010-11-07,52
AUS,1253,ALP,2010-02-05,2010-11-14,36
AUS,1253,ALP,2010-02-05,2010-11-21,64
AUS,1253,ALP,2010-02-05,2010-11-28,63
AUS,1253,ALP,2010-02-05,2010-12-05,58
AUS,1253,ALP,2010-02-05,2010-12-12,30
AUS,1253,ALP,2010-02-05,2010-12-19,20
AUS,1253,ALP,2010-02-05,2011-01-09,24
AUS,1253,ALP,2010-02-05,2011-01-16,35
AUS,1253,ALP,2010-02-05,2011-01-23,24
AUS,1253,ALP,2010-02-05,2011-01-30,5
AUS,1253,ALP,2010-02-05,2011-02-06,15
AUS,1253,ALP,2010-02-05,2011-02-13,18
AUS,1253,ALP,2010-02-05,2011-02-20,10
AUS,1253,ALP,2010-02-05,2011-02-27,73
AUS,1253,ALP,2010-02-05,2011-03-06,24
AUS,1253,ALP,2010-02-05,2011-03-13,19
AUS,1253,ALP,2010-02-05,2011-03-20,42
AUS,1253,ALP,2010-02-05,2011-03-27,30
AUS,1253,ALP,2010-02-05,2011-04-03,3
AUS,1253,ALP,2010-02-05,2011-04-10,67
AUS,1253,ALP,2010-02-05,2011-04-17,36
AUS,1253,ALP,2010-02-05,2011-04-24,20
AUS,1253,ALP,2010-02-05,2011-05-01,30
AUS,1253,ALP,2010-02-05,2011-05-08,136
AUS,1253,ALP,2010-02-05,2011-05-15,36
AUS,1253,ALP,2010-02-05,2011-05-22,32
AUS,1253,ALP,2010-02-05,2011-05-29,49
AUS,1253,ALP,2010-02-05,2011-06-05,42
AUS,1253,ALP,2010-02-05,2011-06-12,13
AUS,1253,ALP,2010-02-05,2011-06-19,4
AUS,1253,ALP,2010-02-05,2011-06-26,59
AUS,1253,ALP,2010-02-05,2011-07-03,18
AUS,1253,ALP,2010-02-05,2011-07-10,116
AUS,1253,ALP,2010-02-05,2011-07-17,10
